"type","text"
"ham","I'll be in sch fr 4-6... I dun haf da book in sch... It's at home..."
"ham","Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?"
"ham","Ok"
"ham","We don call like  &lt;#&gt;  times oh. No give us hypertension oh."
"ham","Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
"ham","Omg it could snow here tonite!"
"spam","Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!"
"spam","Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020."
"ham","Carry on not disturbing both of you"
"ham","What pa tell me.. I went to bath:-)"
"ham","Jus finished avatar nigro"
"ham","R u over scratching it?"
"ham","Hope you are having a great day."
"ham","Did either of you have any idea's? Do you know of anyplaces doing something?"
"ham","My planning usually stops at ""find hella weed, smoke hella weed"""
"ham","The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
"ham","Excellent! Are you ready to moan and scream in ecstasy?"
"spam","More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB"
"ham","Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex"
"spam","WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
"ham","K...k:)why cant you come here and search job:)"
"ham","I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :("
"ham","Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
"ham","Can ü call me at 10:10 to make sure dat i've woken up..."
"ham","Hey we can go jazz power yoga hip hop kb and yogasana"
"ham","The battery is for mr adewale my uncle. Aka Egbon"
"ham","I cant pick the phone right now. Pls send a message"
"ham","Wait 2 min..stand at bus stop"
"ham","Oh ic. I thought you meant mary jane."
"ham","Haha... Really oh no... How? Then will they deduct your lesson tmr?"
"ham","Nah im goin 2 the wrks with j wot bout u?"
"ham","Then just eat a shit and wait for ur monkey face bitch.......... U asshole.................."
"ham","Good night. Am going to sleep."
"ham","Aight I'll grab something to eat too, text me when you're back at mu"
"ham","K...k:)why cant you come here and search job:)"
"ham","Take something for pain. If it moves however to any side in the next 6hrs see a doctor."
"ham","Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
"ham","Howz that persons story"
"spam","Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18"
"ham","LOL that would be awesome payback."
"spam","it to 80488. Your 500 free text messages are valid until 31 December 2005."
"ham","Yes :)it completely in out of form:)clark also utter waste."
"ham","Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
"ham","Thanks. It was only from tescos but quite nice. All gone now. Speak soon"
"ham","What's a feathery bowa? Is that something guys have that I don't know about?"
"ham","Even i cant close my eyes you are in me our vava playing umma :-D"
"ham","2 laptop... I noe infra but too slow lar... I wan fast one"
"spam","You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP"
"ham","Nvm it's ok..."
"ham","Enjoy ur life. . Good night"
"ham","Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!"
"ham","I had askd u a question some hours before. Its answer"
"ham","Thats cool. Where should i cum? On you or in you? :)"
"ham","Delhi and chennai still silent."
"ham","Lol alright i was thinkin that too haha"
"spam","Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service"
"ham","No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked."
"ham","Shhhhh nobody is supposed to know!"
"ham","Sorry, I'll call later"
"ham","Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt;"
"ham","Hey i will be late... i'm at amk. Need to drink tea or coffee"
"ham","I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob"
"spam","Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm"
"ham","The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also."
"ham","S..antha num corrct dane"
"ham","No calls..messages..missed calls"
"ham","Sorry, I'll call later"
"ham","The basket's gettin full so I might be by tonight"
"ham","HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX"
"ham","No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!"
"spam","Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk"
"ham","Eh den sat u book e kb liao huh..."
"ham","Have you been practising your curtsey?"
"ham","Shall i come to get pickle"
"ham","Lol boo I was hoping for a laugh"
"ham","""YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"""
"ham","Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
"ham","LMAO where's your fish memory when I need it?"
"ham","But i'll b going 2 sch on mon. My sis need 2 take smth."
"ham","Idea will soon get converted to live:)"
"spam","TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone..."
"ham","S....s...india going to draw the series after many years in south african soil.."
"ham","Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
"ham","Can't take any major roles in community outreach. You rock mel"
"ham","Shopping lor. Them raining mah hard 2 leave orchard."
"ham","Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly."
"ham","See the forwarding message for proof"
"ham","I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
"ham","Dunno lei... I thk mum lazy to go out... I neva ask her yet..."
"ham","Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
"ham","Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
"spam","Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!"
"ham","Ambrith..madurai..met u in arun dha marrge..remembr?"
"ham","Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time"
"ham","Princess, is your kitty shaved or natural?"
"ham","Better than bb. If he wont use it, his wife will or them doctor"
"ham","Ya it came a while ago"
"ham","From tomorrow onwards eve 6 to 3 work."
"ham","Anything lor but toa payoh got place 2 walk meh..."
"ham","I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
"spam","U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
"ham","Is there any movie theatre i can go to and watch unlimited movies and just pay once?"
"ham","U having lunch alone? I now so bored..."
"ham","Yes obviously, but you are the eggs-pert and the potato head… Speak soon!"
"ham","Nah man, my car is meant to be crammed full of people"
"ham","No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch"
"ham","Kallis is ready for bat in 2nd innings"
"ham","Thanx but my birthday is over already."
"ham","Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
"ham","I noe la... U wana pei bf oso rite... K lor, other days den..."
"ham","Yes, i'm small kid.. And boost is the secret of my energy.."
"ham","IM GONNA MISS U SO MUCH"
"ham","Is avatar supposed to have subtoitles"
"ham","Simply sitting and watching match in office.."
"ham","You can jot down things you want to remember later."
"ham","Oh sorry please its over"
"ham","Hey are we going for the lo lesson or gym?"
"ham","Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
"ham","You always make things bigger than they are"
"ham","Ü dun wan to watch infernal affair?"
"ham","Me not waking up until 4 in the afternoon, sup"
"spam","4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt"
"ham","I can send you a pic if you like :)"
"ham","Okay... I booked all already... Including the one at bugis."
"ham","Aight fuck it, I'll get it later"
"ham","No de. But call me after some time. Ill tell you k"
"ham","So dont use hook up any how"
"ham","How much is blackberry bold2 in nigeria."
"ham","Hi where you. You in home or calicut?"
"ham","Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx"
"spam","Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
"ham","Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
"ham","Y so late but i need to go n get da laptop..."
"ham","Sir, I am waiting for your mail."
"ham",".Please charge my mobile when you get up in morning."
"ham","Nothing, i got msg frm tht unknown no.."
"ham","Ugh fuck it I'm resubbing to eve"
"ham","He didn't see his shadow. We get an early spring yay"
"ham","I did. One slice and one breadstick. Lol"
"ham","Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ..."
"ham","Is there any training tomorrow?"
"spam","URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
"ham","Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color"
"ham","Cos daddy arranging time c wat time fetch ü mah..."
"ham","Then. You are eldest know."
"ham","Who's there say hi to our drugdealer"
"ham","Its hard to believe things like this. All can say lie but think twice before saying anything to me."
"spam","Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
"spam","Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G."
"ham","Good night my dear.. Sleepwell&amp;Take care"
"ham","That is wondarfull song"
"spam","FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
"ham","Yar lor actually we quite fast... Cos da ge slow wat... Haha..."
"ham","Must come later.. I normally bathe him in da afternoon mah.."
"ham","Trust me. Even if isn't there, its there."
"ham","Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx"
"spam","85233 FREE>Ringtone!Reply REAL"
"ham","I can take you at like noon"
"ham","Where is it. Is there any opening for mca."
"ham","I'm aight. Wat's happening on your side."
"ham","I'm done oredi..."
"ham","you are sweet as well, princess. Please tell me your likes and dislikes in bed..."
"ham","How are you. Wish you a great semester"
"ham","Moji i love you more than words. Have a rich day"
"ham","Dude how do you like the buff wind."
"ham","""alright babe, justthought i'd sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."""
"spam","Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50"
"ham","No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
"ham","S:-)kallis wont play in first two odi:-)"
"ham","Then get some cash together and I'll text jason"
"ham","Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me"
"spam","Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
"spam","PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires"
"ham","Probably, want to pick up more?"
"ham","I'm done..."
"ham","Are you the cutest girl in the world or what"
"ham","No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
"spam","SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
"ham","Oh Howda gud gud.. Mathe en samachara chikku:-)"
"ham","I thk 530 lor. But dunno can get tickets a not. Wat u doing now?"
"ham","Audrie lousy autocorrect"
"ham","Its a site to simulate the test. It just gives you very tough questions to test your readiness."
"ham","Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting"
"ham","I fetch yun or u fetch?"
"ham","Thank you. I like you as well..."
"ham","Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
"spam","FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
"ham","Lara said she can loan me  &lt;#&gt; ."
"ham","Do we have any spare power supplies"
"ham","Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat."
"spam","You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p"
"ham","Yeah, don't go to bed, I'll be back before midnight"
"spam","Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
"ham","Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;"
"ham","It's that time of the week again, ryan"
"ham","Wish u many many returns of the day.. Happy birthday vikky.."
"spam","U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
"ham","I hope you know I'm still mad at you."
"ham","Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
"ham","In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)"
"ham","Do you know when the result."
"spam","+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm"
"ham","Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
"ham","Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
"ham","You do got a shitload of diamonds though"
"ham","Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas"
"ham","Well I'm going to be an aunty!"
"ham","Mine here like all fr china then so noisy."
"ham","Later i guess. I needa do mcat study too."
"ham","S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)"
"spam","Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528"
"ham","Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
"ham","If he started searching he will get job in few days.he have great potential and talent."
"ham","Carlos took a while (again), we leave in a minute"
"ham","Well done and ! luv ya all"
"ham","Then why you came to hostel."
"ham","K still are you loving me."
"ham","But i juz remembered i gotta bathe my dog today.."
"ham","After the drug she will be able to eat."
"ham","Alright took the morphine. Back in yo."
"ham","You see the requirements please"
"ham","You stayin out of trouble stranger!!saw Dave the other day he's sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!"
"spam","FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts"
"spam","Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
"ham","So can collect ur laptop?"
"ham","Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
"ham","I will once i get home"
"ham","Waaaat?? Lololo ok next time then!"
"ham","The table's occupied, I'm waiting by the tree"
"ham","I surely dont forgot to come:)i will always be in touch in with you:-)"
"ham","Hi kindly give us back our documents which we submitted for loan from STAPATI"
"ham","I dont have i shall buy one dear"
"ham","Oh god i am happy to see your message after 3 days"
"ham","What year. And how many miles."
"ham","Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself."
"ham","Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
"ham","I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people."
"spam","FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+"
"ham","No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar."
"ham","Is she replying. Has boye changed his phone number"
"ham","1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
"ham","hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx"
"ham","Nothing really, just making sure everybody's up to speed"
"ham","I'm not coming home 4 dinner."
"ham","Thank you. And by the way, I just lost."
"ham","Yes.he have good crickiting mind"
"ham","Thx. All will be well in a few months"
"spam","Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
"ham","""CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO"""
"ham","I wont. So wat's wit the guys"
"ham","Yavnt tried yet and never played original either"
"ham","Hiya, had a good day? Have you spoken to since the weekend?"
"ham","See? I thought it all through"
"ham","I'm at work. Please call"
"ham","get ready to moan and scream :)"
"ham","Oh k :)why you got job then whats up?"
"ham","I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
"ham","And popping &lt;#&gt; ibuprofens was no help."
"ham","Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
"ham","Ok."
"ham","PS U no ur a grown up now right?"
"ham","Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
"ham","I know a few people I can hit up and fuck to the yes"
"ham","Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng"
"ham","So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck"
"ham","Oh god. I'm gonna Google nearby cliffs now."
"spam","FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF"
"ham","Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?"
"ham","Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too."
"ham","Thankyou so much for the call. I appreciate your care."
"ham","Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails."
"ham","I called but no one pick up e phone. I ask both of them already they said ok."
"ham","Hi my email address has changed now it is"
"ham","V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
"ham","Not much, just some textin'. How bout you?"
"ham","Bring it if you got it"
"ham","I'm in a movie. Call me 4 wat?"
"ham","Not sure I have the stomach for it ..."
"ham","Haha... can... But i'm having dinner with my cousin..."
"ham","A boy was late 2 home. His father: ""POWER OF FRNDSHIP"""
"ham","(And my man carlos is definitely coming by mu tonight, no excuses)"
"ham","soon you will have the real thing princess! Do i make you wet? :)"
"ham","Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday."
"ham","Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
"spam","URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
"ham","Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday."
"spam","URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
"ham","Hmm well, night night"
"ham","Just wanted to say holy shit you guys weren't kidding about this bud"
"ham","Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
"ham","This is one of the days you have a billion classes, right?"
"ham","Goodmorning, today i am late for 2hrs. Because of back pain."
